都道府県名	地方自治体コード	指標値(単位:人/10万人)	信頼性有無
北海道	 01000	21.99	0
青森県	 02000	26.74	0
岩手県	 03000	36.25	0
宮城県	 04000	26.64	0
秋田県	 05000	36.34	0
山形県	 06000	36.21	0
福島県	 07000	44.57	0
茨城県	 08000	36.21	0
栃木県	 09000	31.33	0
群馬県	 10000	44.14	0
埼玉県	 11000	38.13	0
千葉県	 12000	32.26	0
東京都	 13000	24.72	0
神奈川県	 14000	23.56	0
新潟県	 15000	42.33	0
富山県	 16000	33.13	0
石川県	 17000	41.69	0
福井県	 18000	39.78	0
山梨県	 19000	41.08	0
長野県	 20000	33.35	0
岐阜県	 21000	43.51	0
静岡県	 22000	33.11	0
愛知県	 23000	40.65	0
三重県	 24000	47.02	0
滋賀県	 25000	42.46	0
京都府	 26000	55.07	0
大阪府	 27000	40.51	0
兵庫県	 28000	48.35	0
奈良県	 29000	61.66	0
和歌山県	 30000	66.01	0
鳥取県	 31000	68.66	0
島根県	 32000	56.43	0
岡山県	 33000	66.82	0
広島県	 34000	54.14	0
山口県	 35000	48.35	0
徳島県	 36000	60.85	0
香川県	 37000	57.73	0
愛媛県	 38000	61.77	0
高知県	 39000	73.58	0
福岡県	 40000	52.92	0
佐賀県	 41000	74.82	0
長崎県	 42000	56.71	0
熊本県	 43000	77.69	0
大分県	 44000	70.35	0
宮崎県	 45000	77.26	0
鹿児島県	 46000	88.61	0
沖縄県	 47000	88.2	0
